Wall time,Step,Value
1745687913.220632,2017,0.7710883021354675
1745687923.4506,2022,0.8112359046936035
1745687929.6397119,2025,0.8694227933883667
1745687933.7722256,2027,0.8827757239341736
1745687940.2336931,2030,0.8168573975563049
1745687946.4439843,2033,0.866503894329071
1745687952.5928109,2036,0.8056791424751282
1745687956.7475805,2038,0.7189942002296448
1745687963.06773,2041,0.8472665548324585
1745687969.300809,2044,0.8332903385162354
1745687971.358562,2045,0.824497640132904
1745687977.467011,2048,0.7969092726707458
1745688005.1391296,2060,0.8437417149543762
1745688009.237371,2062,0.7925171256065369
1745688019.656566,2067,0.7863425016403198
1745688029.9172869,2072,0.8696773052215576
1745688032.131469,2073,0.7839809656143188
1745688034.3623612,2074,0.7437925338745117
1745688038.623597,2076,0.7829495072364807
1745688040.6749456,2077,0.9007111191749573
1745688044.8894954,2079,0.8296029567718506
1745688049.0000882,2081,0.7851576805114746
1745688055.1548245,2084,0.7448967695236206
1745688057.2111673,2085,0.8363319635391235
1745688067.8148012,2089,0.7189494967460632
1745688078.1717844,2094,0.8110994100570679
1745688082.2669036,2096,0.8764948844909668
1745688096.7832494,2103,0.8252472877502441
1745688101.0404053,2105,0.7570106983184814
1745688103.1438582,2106,0.7444300651550293
1745688109.3940997,2109,0.8844154477119446
1745688113.49958,2111,0.7812414765357971
1745688121.8658364,2115,0.7472494840621948
1745688127.9476576,2118,0.7992203831672668
1745688132.1528847,2120,0.8274002075195312
1745688136.2730396,2122,0.8071216344833374
1745688138.461173,2123,0.7379100918769836
1745688149.5773091,2128,0.7776551842689514
1745688157.7626362,2132,0.8284494876861572
1745688159.8235366,2133,0.8053693175315857
1745688162.4132516,2134,0.8091870546340942
1745688170.8344555,2138,0.7545740008354187
1745688172.8723307,2139,0.7920798063278198
1745688176.9543438,2141,0.8119860291481018
1745688183.1375496,2144,0.927314043045044
1745688185.9433208,2145,0.7318806052207947
1745688188.0640287,2146,0.7727479934692383
1745688192.2704694,2148,0.8030584454536438
1745688194.3287382,2149,0.8488845229148865
1745688199.443053,2151,0.8441416025161743
1745688209.765172,2156,0.7883226275444031
1745688211.8134964,2157,0.7892418503761292
1745688224.314698,2163,0.8932706713676453
1745688226.347754,2164,0.7512066960334778
1745688228.4146452,2165,0.7552704811096191
1745688236.9409273,2169,0.851889967918396
1745688241.0541902,2171,0.7745294570922852
1745688245.1757665,2173,0.8462666869163513
1745688253.7583401,2177,0.7856497168540955
1745688275.6602952,2187,0.8085092306137085
1745688279.737419,2189,0.8189563155174255
1745688283.8585,2191,0.8831973075866699
1745688285.9545443,2192,0.7383867502212524
1745688294.2056422,2196,0.7986895442008972
1745688298.346258,2198,0.7795009016990662
1745688300.4175842,2199,0.7892184853553772
1745688302.511843,2200,0.8364630937576294
1745688318.9750116,2207,0.9020306468009949
1745688327.4454718,2211,0.8438917994499207
1745688334.0544605,2214,0.7125309705734253
1745688354.6788337,2224,0.7734488844871521
1745688356.7797077,2225,0.8064477443695068
1745688364.9817488,2229,0.8486697673797607
1745688369.1591349,2231,0.8044638633728027
1745688375.4640446,2234,0.8727779388427734
1745688379.6078675,2236,0.8063864707946777
1745688381.66578,2237,0.7812798619270325
1745688385.854119,2239,0.7110542058944702
1745688387.9122245,2240,0.7889947295188904
1745688390.0204895,2241,0.7817587852478027
1745688392.0731192,2242,0.747698962688446
1745688396.7147026,2244,0.7765193581581116
1745688401.2892153,2246,0.8224711418151855
1745688403.3514588,2247,0.7893703579902649
1745688411.8644009,2251,0.8585650324821472
1745688413.9001863,2252,0.8001430034637451
1745688417.9957118,2254,0.891465961933136
1745688424.3752592,2257,0.8057300448417664
1745688434.7173972,2262,0.8396048545837402
1745688460.2570148,2274,0.8194182515144348
1745688468.6441994,2278,0.7517874836921692
1745688474.7691238,2281,0.7647268176078796
1745688489.1817775,2288,0.8108729124069214
1745688497.011831,2291,0.7238215804100037
1745688510.6622813,2297,0.7963383197784424
1745688512.8810203,2298,0.8139937520027161
1745688516.9609432,2300,0.8021094799041748
1745688523.8652782,2303,0.7563939094543457
1745688530.2011714,2306,0.8160423636436462
1745688532.2701313,2307,0.8345032930374146
1745688534.332434,2308,0.8315931558609009
1745688553.0556717,2317,0.7607100009918213
1745688555.131311,2318,0.8017709851264954
1745688557.1833892,2319,0.948063850402832
1745688559.2398782,2320,0.7695321440696716
1745688563.3422725,2322,0.8326764702796936
1745688567.7106175,2324,0.7601361274719238
1745688573.8927064,2327,0.885284423828125
1745688588.241831,2334,0.7520631551742554
1745688590.2947516,2335,0.674954354763031
1745688592.8039746,2336,0.8311324119567871
1745688594.8435197,2337,0.7854708433151245
1745688611.204138,2345,0.7737249135971069
1745688632.5269732,2354,0.8918675184249878
1745688642.9669325,2359,0.802664577960968
1745688659.5579953,2367,0.8036396503448486
1745688661.6238694,2368,0.7715020179748535
1745688667.8485687,2371,0.7722118496894836
1745688691.4131937,2382,0.7500882744789124
1745688699.0595422,2385,0.7629960775375366
1745688705.1817827,2388,0.8324404954910278
1745688707.2339044,2389,0.8444818258285522
1745688709.2828426,2390,0.8449161052703857
1745688713.4888065,2392,0.7588515877723694
1745688730.1074448,2400,0.8716422915458679
1745688734.4909058,2402,0.7949845790863037
1745688739.0210443,2404,0.7640395164489746
1745688743.1204765,2406,0.8467333912849426
1745688766.0918639,2416,0.8192047476768494
1745688784.21539,2424,0.805539608001709
1745688786.2329106,2425,0.8178717494010925
1745688796.4537938,2430,0.7382525205612183
1745688808.7117867,2436,0.8223267793655396
1745688826.9280694,2444,0.7358077764511108
1745688839.5675385,2450,0.7261382937431335
1745688841.6114469,2451,0.7958860397338867
1745688843.6952372,2452,0.8292236328125
1745688845.7368457,2453,0.8082204461097717
1745688849.862438,2455,0.8746212124824524
1745688861.7530632,2460,0.8079197406768799
1745688903.0555377,2479,0.7912626266479492
1745688907.179238,2481,0.7883597016334534
1745688915.376649,2485,0.7682210206985474
1745688917.4557703,2486,0.7713466286659241
1745688921.902341,2488,0.6991700530052185
1745688932.1781433,2493,0.7322527766227722
1745688938.4807923,2496,0.7104170918464661
1745688942.706184,2498,0.8061156272888184
1745688949.0758193,2501,0.7018370628356934
1745688951.2352626,2502,0.8845818638801575
1745688953.289697,2503,0.7019261717796326
1745688975.1583433,2513,0.7456345558166504
1745688977.207598,2514,0.7117279767990112
1745688982.2411034,2516,0.715300440788269
1745688984.2860632,2517,0.8595155477523804
1745688986.9919086,2518,0.7510179877281189
1745688989.0998046,2519,0.81242436170578
1745688997.3309865,2523,0.8270354270935059
1745689001.4302433,2525,0.8086445331573486
1745689007.6855428,2528,0.789208710193634
1745689011.8500023,2530,0.8082944750785828
1745689016.8171117,2532,0.763952910900116
1745689021.0282297,2534,0.7569454312324524
1745689039.5852902,2543,0.7897254824638367
1745689048.0310385,2547,0.8380913734436035
1745689052.326853,2549,0.6335989832878113
1745689056.6612916,2551,0.816069483757019
1745689061.5032492,2553,0.7228125333786011
1745689068.5935423,2556,0.7357181906700134
1745689074.7661686,2559,0.7682720422744751
1745689087.2927506,2565,0.7680225372314453
1745689089.3448732,2566,0.8137239813804626
1745689097.6912463,2570,0.7644703388214111
1745689104.0129972,2573,0.8467893004417419
1745689110.248317,2576,0.7522826790809631
1745689114.3816996,2578,0.7402584552764893
1745689124.6678588,2583,0.782774031162262
1745689132.8560846,2587,0.7816510200500488
1745689139.19536,2590,0.7813361287117004
1745689141.399128,2591,0.7373486161231995
1745689143.6462238,2592,0.8122100830078125
1745689145.7002652,2593,0.7381793856620789
1745689152.0429087,2596,0.7640278935432434
1745689160.420933,2600,0.7596187591552734
1745689172.681342,2606,0.8294054865837097
1745689174.7166688,2607,0.8157690167427063
1745689181.0338402,2610,0.7185036540031433
